,question,answer,image_id,answer_idx,tokens,indexed
0,what is the object on the shelves,cup,image100,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'shelves']","[1060, 510, 966, 639, 646, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,how man chairs are there,6,image888,-1,"['how', 'man', 'chairs', 'are', 'there']","[474, 585, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,what is hanged to the right side of the bed,curtain,image1174,-1,"['what', 'is', 'hanged', 'to', 'the', 'right', 'side', 'of', 'the', 'bed']","[1060, 510, 441, 984, 966, 785, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,how many picture are on the wall,2,image942,-1,"['how', 'many', 'picture', 'are', 'on', 'the', 'wall']","[474, 588, 703, 26, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,what is the object on the floor behind the rack,room_divider,image1220,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'behind', 'the', 'rack']","[1060, 510, 966, 639, 646, 966, 377, 70, 966, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,what is the object on the floor in front of the cabinet,garbage_bin,image541,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'cabinet']","[1060, 510, 966, 639, 646, 966, 377, 500, 400, 643, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0]"
6,what is beneath the stove,oven,image576,-1,"['what', 'is', 'beneath', 'the', 'stove']","[1060, 510, 75, 966, 920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,what is on the night stand,lamp,image1013,-1,"['what', 'is', 'on', 'the', 'night', 'stand']","[1060, 510, 646, 966, 629, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,what is on the above the stove,microwave,image867,-1,"['what', 'is', 'on', 'the', 'above', 'the', 'stove']","[1060, 510, 646, 966, 5, 966, 920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,what is on the wall,spot_light,image1070,-1,"['what', 'is', 'on', 'the', 'wall']","[1060, 510, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,what is above the cupboards,books,image110,-1,"['what', 'is', 'above', 'the', 'cupboards']","[1060, 510, 5, 966, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,what is the object left of the shelf,soft_toy,image1001,-1,"['what', 'is', 'the', 'object', 'left', 'of', 'the', 'shelf']","[1060, 510, 966, 639, 562, 643, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,what is above the drawer,mirror,image1031,-1,"['what', 'is', 'above', 'the', 'drawer']","[1060, 510, 5, 966, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,what is on the shelf,bag,image612,-1,"['what', 'is', 'on', 'the', 'shelf']","[1060, 510, 646, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
